iter	Logloss
135	0.4329681101
136	0.4328914801
137	0.4328365032
138	0.4328031313
139	0.4327480098
140	0.4327127089
141	0.4326506429
142	0.4326144739
143	0.4325832721
144	0.4325484534
145	0.4325140205
146	0.4324793948
147	0.4324424542
148	0.4324125545
149	0.4323760479
150	0.4323123905
151	0.432279742
152	0.4322158434
153	0.4321798673
154	0.4321255656
155	0.4320932546
156	0.4320541921
157	0.4320228939
158	0.4319957431
159	0.4319629498
160	0.4318819795
161	0.4318141265
162	0.4317890493
163	0.4317622843
164	0.4317244756
165	0.4316897534
166	0.4316340532
167	0.4315986076
168	0.4315684667
169	0.4315383259
170	0.4315093907
171	0.4314593328
172	0.4314286615
173	0.4313904189
174	0.4313490415
175	0.4313165859
176	0.431253459
177	0.4312092363
178	0.4311714277
179	0.4311163062
180	0.4310849597
181	0.4310529381
182	0.4310113679
183	0.4309674346
184	0.4309340627
185	0.4309058509
186	0.4308522243
187	0.4308232409
188	0.4307919909
189	0.4307703377
190	0.4307166629
191	0.4306750445
192	0.4306438909
193	0.4306045873
194	0.4305603165
195	0.4305328763
196	0.4305099692
197	0.4304730769
198	0.4304544619
199	0.430432857
200	0.4303769638
201	0.430338914
202	0.4303144638
203	0.4302698554
204	0.4302469966
205	0.4302128048
206	0.4301812655
207	0.4301501601
208	0.430120164
209	0.4300743982
210	0.4300430035
211	0.4300086188
212	0.4299896663
213	0.4299533044
214	0.429928179
215	0.4298944213
216	0.4298627855
217	0.4298406983
218	0.4298056867
219	0.4297680709
220	0.4297472858
221	0.429722932
222	0.429696601
223	0.42967027
224	0.4296476041
225	0.4296249864
226	0.4295879976
227	0.4295477295
228	0.4295244366
229	0.4294819019
230	0.4294567283
231	0.4294335801
232	0.4294057059
233	0.4293832811
234	0.4293651002
235	0.429324832
236	0.4292852873
237	0.4292523976
238	0.4292166627
239	0.4291830978
240	0.4291668459
241	0.4291362228
242	0.4290941221
243	0.4290706364
244	0.4290489832
245	0.4290236167
246	0.4290020118
247	0.4289833003
248	0.4289462633
249	0.4289203663
250	0.4288900326
251	0.4288577216
252	0.4288313906
253	0.4288025519
254	0.4287728451
255	0.4287340719
256	0.4287040275
257	0.4286806865
258	0.4286636629
259	0.4286395503
260	0.4286097953
261	0.4285728547
262	0.4285400132
263	0.4285186976
264	0.4285023492
265	0.4284771274
266	0.4284562941
267	0.4284349303
268	0.4284017512
269	0.4283724302
270	0.4283502466
271	0.4283227099
272	0.4282963789
273	0.4282746293
274	0.4282436686
275	0.4282075961
276	0.4281850267
277	0.4281472662
278	0.4281233465
279	0.428100343
280	0.4280851038
281	0.4280482597
282	0.4280239059
283	0.428006593
284	0.4279840718
285	0.4279355571
286	0.4279227292
287	0.4278980378
288	0.4278797122
289	0.4278536223
290	0.4278404568
291	0.4278082905
292	0.4277911705
293	0.4277591006
294	0.4277265486
295	0.4276995906
296	0.4276708001
297	0.4276391161
298	0.427613846
299	0.4275811492
300	0.4275485971
301	0.4275156592
302	0.4274833965
303	0.4274518571
304	0.4274286608
305	0.4274127464
306	0.4273942279
307	0.4273582518
308	0.4273352483
309	0.4272906881
310	0.4272553872
311	0.4272224011
312	0.4272058598
313	0.4271748509
314	0.4271510276
315	0.4271253235
316	0.4271043455
317	0.4270811974
318	0.4270446908
319	0.4270176846
320	0.4269955974
321	0.4269697004
322	0.4269510854
323	0.4269278408
324	0.4269096117
325	0.4268941796
326	0.4268677521
327	0.4268464847
328	0.4268291236
329	0.4268046252
330	0.4267857691
331	0.42673547
332	0.4267112127
333	0.4266878234
334	0.4266620711
335	0.4266347274
336	0.4266042972
337	0.4265832227
338	0.4265587243
339	0.4265373604
340	0.4265123797
341	0.4264811297
342	0.4264556185
343	0.4264371965
344	0.4264218608
345	0.4263943724
346	0.4263648585
347	0.4263386721
348	0.4263003812
349	0.426282345
350	0.4262621868
351	0.4262410159
352	0.426216421
353	0.426193321
354	0.4261832419
355	0.4261594669
356	0.4261292296
357	0.4261031879
358	0.4260821134
359	0.4260552037
360	0.4260345633
361	0.4260068337
362	0.4259934271
363	0.4259806956
364	0.4259587049
365	0.4259380644
366	0.4259261528
367	0.4259038727
368	0.4258717064
369	0.4258556473
370	0.4258308595
371	0.4258166813
372	0.4257993684
373	0.4257774741
374	0.4257589556
375	0.42573465
376	0.4257233653
377	0.4256924529
378	0.4256750435
379	0.4256580682
380	0.4256317372
381	0.4256128329
382	0.4255933981
383	0.4255858267
384	0.4255500917
385	0.4255341774
386	0.4255180701
387	0.4255050011
388	0.4254843606
389	0.4254657457
390	0.4254506994
391	0.4254298178
392	0.425414241
393	0.4253906588
394	0.4253666909
395	0.4253441696
396	0.4253115211
397	0.4252968124
398	0.4252731337
399	0.4252621384
400	0.4252328656
401	0.4252113089
402	0.425188643
403	0.4251620226
404	0.425130869
405	0.4251055025
406	0.4250884308
407	0.4250735774
408	0.4250453173
409	0.4250281973
410	0.4249948254
411	0.424966903
412	0.4249520978
413	0.4249325183
414	0.4249087915
415	0.4248915268
416	0.424867173
417	0.4248484616
418	0.4248259404
419	0.4247993682
420	0.4247709153
421	0.424752879
422	0.4247188802
423	0.424696166
424	0.424674754
425	0.4246527632
426	0.4246354021
427	0.4246208381
428	0.4245923851
429	0.4245658612
430	0.4245502362
431	0.4245354793
432	0.4245131509
433	0.4244913531
434	0.4244686872
435	0.4244481432
436	0.4244254291
437	0.4244094665
438	0.4243866559
439	0.4243677034
440	0.4243520784
441	0.4243315826
442	0.4243089167
443	0.4242818141
444	0.4242661891
445	0.4242361447
446	0.4242033033
447	0.4241805409
448	0.4241595629
449	0.4241375239
450	0.4241098426
451	0.4240863569
452	0.4240614244
453	0.4240418931
454	0.4240256412
455	0.4240000818
456	0.4239777535
457	0.4239492523
458	0.4239288048
459	0.4239077785
460	0.4238872828
461	0.4238601801
462	0.4238348619
463	0.4238159093
464	0.4238004772
465	0.4237815246
466	0.4237629579
467	0.4237432337
468	0.4237312739
469	0.4237082704
470	0.423677358
471	0.4236520879
472	0.4236380543
473	0.4236159671
474	0.4235879964
475	0.4235667291
476	0.4235484999
477	0.423529692
478	0.4235087623
479	0.4234910153
480	0.4234753421
481	0.4234566307
482	0.423441922
483	0.423423307
484	0.4233983263
485	0.4233665458
486	0.4233473521
487	0.4233324505
488	0.4232910249
489	0.4232727475
490	0.4232500816
491	0.4232261137
492	0.4231960211
493	0.423176104
494	0.4231617329
495	0.4231520396
496	0.4231387776
497	0.423117896
498	0.4230903594
499	0.4230655716
500	0.4230484998
501	0.4230344662
502	0.4230197093
503	0.4229919797
504	0.4229672402
505	0.4229548462
506	0.4229354114
507	0.4229170376
508	0.4228917193
509	0.4228650025
510	0.4228542482
511	0.422827435
512	0.4228110866
513	0.4227951722
514	0.4227621379
515	0.4227496475
516	0.4227284284
517	0.422712514
518	0.422688546
519	0.4226639994
520	0.4226421533
521	0.4226170761
522	0.4225950372
523	0.4225756988
524	0.4225506216
525	0.4225311386
526	0.4225151278
527	0.4224987312
528	0.422486482
529	0.4224683975
530	0.4224495414
531	0.4224191112
532	0.4224032933
533	0.4223818812
534	0.4223615302
535	0.422336019
536	0.4223217925
537	0.4223036116
538	0.4222882277
539	0.4222783415
540	0.4222590996
541	0.4222435228
542	0.4222249561
543	0.4222071127
544	0.4221870027
545	0.422172728
546	0.4221604788
547	0.4221424908
548	0.4221243098
549	0.4220988951
550	0.4220933492
551	0.4220738179
552	0.422054576
553	0.422035961
554	0.4220255926
555	0.421999985
556	0.4219784282
557	0.4219627068
558	0.4219411983
559	0.4219220528
560	0.4218902724
561	0.421869873
562	0.4218383337
563	0.421810797
564	0.4217861057
565	0.4217686481
566	0.4217519621
567	0.4217378804
568	0.421725824
569	0.4217006504
570	0.4216864239
571	0.4216698344
572	0.4216442268
573	0.421620934
574	0.4215925292
575	0.4215722746
576	0.4215488371
577	0.4215199984
578	0.421503216
579	0.4214900022
580	0.4214748595
581	0.4214545566
582	0.4214229208
583	0.421408839
584	0.4213883915
585	0.4213736827
586	0.4213509204
587	0.4213387194
588	0.4213137387
589	0.4212957024
590	0.4212631985
591	0.4212454516
592	0.4212364817
593	0.421222834
594	0.4212002163
595	0.4211902336
596	0.4211748015
597	0.42115392
598	0.4211385843
599	0.421123538
