iter	Logloss
0	0.6592706099
1	0.6304537963
2	0.6057324492
3	0.5845488246
4	0.5665721669
5	0.5504658266
6	0.5370556576
7	0.5255553387
8	0.5153382688
9	0.5065728352
10	0.4988150291
11	0.4920588313
12	0.4863576423
13	0.4812554634
14	0.4768869274
15	0.4729464139
16	0.4693319372
17	0.4662635515
18	0.463566032
19	0.4609425221
20	0.4587041795
21	0.456724172
22	0.4551211459
23	0.4536944523
24	0.4522145026
25	0.4510284242
26	0.4498510613
27	0.4487120754
28	0.4478866068
29	0.4470158273
30	0.4461341653
31	0.4454008596
32	0.4447815775
33	0.4441870456
34	0.4436836653
35	0.4432392711
36	0.4427751346
37	0.4422544678
38	0.4417611512
39	0.4413472853
40	0.4409964985
41	0.4407218399
42	0.440313367
43	0.4399808779
44	0.4395641229
45	0.4392051503
46	0.4388956296
47	0.4385914057
48	0.4383667288
49	0.4381032414
50	0.4378030141
51	0.4375801188
52	0.43739223
53	0.4372058338
54	0.4370000325
55	0.4368148883
56	0.4365971934
57	0.4363991445
58	0.4361946432
59	0.4360393051
60	0.4358838706
61	0.4356932853
62	0.4354693306
63	0.4353404279
64	0.4351899531
65	0.43504699
66	0.4348548157
67	0.4347489296
68	0.4345901245
69	0.4343851417
70	0.4342367856
71	0.4341046567
72	0.4339964593
73	0.4338635118
74	0.4337500658
75	0.433625882
76	0.4335201404
77	0.4333819443
78	0.4332770213
79	0.4331525967
80	0.4330328909
81	0.4329286902
82	0.4328152442
83	0.4326564873
84	0.4325083719
85	0.4324115865
86	0.432306182
87	0.432199381
88	0.4321107814
89	0.4319513504
90	0.4318629434
91	0.4317582611
92	0.4316446707
93	0.4315706612
94	0.4314995889
95	0.4314016479
96	0.431298362
97	0.4311719632
98	0.4310877936
99	0.4309973161
100	0.4308895039
101	0.4307366215
102	0.4306323726
103	0.4305308683
104	0.4304069252
105	0.4303432202
106	0.430223033
107	0.4301444972
108	0.4300308105
109	0.429900078
110	0.4298214459
111	0.4297535035
112	0.4296673597
113	0.4295447649
114	0.4294443199
115	0.4293596207
116	0.429259561
117	0.4291841069
118	0.4290856362
119	0.4289810983
120	0.4288679413
121	0.4287671593
122	0.4286563136
123	0.428555676
124	0.4284813294
125	0.4284177689
126	0.4283535342
127	0.4282785616
128	0.4281629488
129	0.4280835463
130	0.4280144964
131	0.4279587365
132	0.4278957056
133	0.4277893861
134	0.4276991976
135	0.4275932152
136	0.4275126088
137	0.4274459665
138	0.4273765796
139	0.4272540329
140	0.4271642296
141	0.4270872828
142	0.426999887
143	0.4269224106
144	0.42682524
145	0.4267226764
146	0.4266657608
147	0.4265743684
148	0.4264776793
149	0.4263945209
150	0.4263196928
151	0.4262350899
152	0.4261759111
153	0.4260940047
154	0.4260163838
155	0.4259424706
156	0.4258827622
157	0.4257997964
158	0.4257186604
159	0.4256432545
160	0.4255345755
161	0.4254314823
162	0.4253659475
163	0.4252906378
164	0.4252161468
165	0.425136022
166	0.4250488188
167	0.4249822729
168	0.4249157269
169	0.4248562593
170	0.4247701154
171	0.4246979357
172	0.4246288377
173	0.4245408159
174	0.4244656989
175	0.4244055572
176	0.4243276955
177	0.4242306212
178	0.4241467887
179	0.424066712
180	0.4239787384
181	0.4239122887
182	0.4238442982
183	0.423750739
184	0.4236866488
185	0.4236033941
186	0.4235146019
187	0.4234508969
188	0.4233610936
189	0.4232978219
190	0.4232201047
191	0.423139065
192	0.4230534027
193	0.4229911904
194	0.4228877601
195	0.4228065277
196	0.422748938
197	0.4226939967
198	0.422619313
199	0.4225122713
200	0.42245863
201	0.422381298
202	0.4223128741
203	0.4222305825
204	0.4221506021
205	0.4221031725
206	0.4220549724
207	0.4219714769
208	0.4218950116
209	0.4218240838
210	0.4217447295
211	0.4216425992
212	0.4215744161
213	0.4215103258
214	0.4214368941
215	0.4213751634
216	0.421281556
217	0.4212295038
218	0.4211641616
219	0.4210885149
220	0.4210288547
221	0.4209526783
222	0.4208900808
223	0.4208201642
224	0.4207561703
225	0.4206808125
226	0.4206064177
227	0.4205422312
228	0.420474337
229	0.4204087541
230	0.4203398005
231	0.4202668503
232	0.4202067567
233	0.4201552341
234	0.4200948516
235	0.4200308095
236	0.4199580038
237	0.4198684894
238	0.4198076253
239	0.4197429573
240	0.4196533465
241	0.4195970088
242	0.4195044126
243	0.4194190874
244	0.4193409368
245	0.4192786763
246	0.4192293206
247	0.419169227
248	0.4190984918
249	0.419024723
250	0.4189100733
251	0.4188540244
252	0.4187876711
253	0.4187059572
254	0.4186380149
255	0.418588948
256	0.4185008781
257	0.4184055373
258	0.4183420249
259	0.4182579516
260	0.4182087404
261	0.4181588068
262	0.4181017949
263	0.4180133398
264	0.4179510312
265	0.4178803923
266	0.4178049864
267	0.4177313621
268	0.4176690053
269	0.4176024594
270	0.4175440511
271	0.4174837649
272	0.41742709
273	0.4173607848
274	0.4173004504
275	0.417209684
276	0.4171553687
277	0.4171046165
278	0.4170418264
279	0.4169670465
280	0.416903197
281	0.416830295
282	0.4167669752
283	0.4166866577
284	0.4166253603
285	0.4165402759
286	0.4164733928
287	0.4163983721
288	0.4163029831
289	0.4162540126
290	0.4161925708
291	0.416117839
292	0.4160526894
293	0.4159652455
294	0.4158728419
295	0.4158211267
296	0.4157611776
297	0.4157071511
298	0.4156635255
299	0.4155950053
300	0.4155386193
301	0.4154830039
302	0.4154179987
303	0.4153494785
304	0.4152837512
305	0.4152281357
306	0.415157882
307	0.4151064557
308	0.4150418358
309	0.4149864611
310	0.4149311827
311	0.4148876052
312	0.4148308822
313	0.4147647696
314	0.4147174363
315	0.414660954
316	0.4145956119
317	0.414540815
318	0.4145004637
319	0.4144358438
320	0.4143756057
321	0.4143170048
322	0.4142426101
323	0.4141820349
324	0.4141092773
325	0.4140462946
326	0.4139755113
327	0.4138969273
328	0.4138435268
329	0.4137729842
330	0.4137102904
331	0.4136635349
332	0.4136067638
333	0.4135157566
334	0.4134531591
335	0.4133936915
336	0.4133325867
337	0.4132831346
338	0.4132227521
339	0.4131753224
340	0.4131107025
341	0.4130535944
342	0.4129922969
343	0.4129455414
344	0.4128858812
345	0.4128008449
346	0.4127188421
347	0.4126759869
348	0.4125844501
349	0.4125147742
350	0.412475723
351	0.4124171702
352	0.4123590027
353	0.412311862
354	0.4122574984
355	0.4122301
356	0.4121702471
357	0.4121061569
358	0.4120600755
359	0.4120072528
360	0.4119404661
361	0.4118752684
362	0.411818401
363	0.4117434765
364	0.4117076997
365	0.4116477505
366	0.4115943019
367	0.4115473537
368	0.4114810485
369	0.411426059
370	0.4113720807
371	0.4113000935
372	0.4112419742
373	0.4111849623
374	0.4111267466
375	0.4110875028
376	0.4110379544
377	0.4109854207
378	0.4109327906
379	0.4108878167
380	0.4108281564
381	0.4107664738
382	0.4107003612
383	0.4106466236
384	0.410556098
385	0.4105281699
386	0.4104992306
387	0.4104496822
388	0.4103807287
389	0.4103041671
390	0.4102539928
391	0.4101712196
392	0.410115893
393	0.4100629741
394	0.4100294122
